2000人以上,"交通补助,通讯津贴,年度旅游,年终奖",3-5年,本科,（高级）数据分析师,15k-30k,浙江执御信息技术有限公司,浙江执御信息技术有限公司
500-2000人,"股票期权,BAT技术,年度旅游,五险一金",3-5年,本科,数据分析师,13k-20k,二维火,杭州迪火科技有限公司
150-500人,"带薪年假,扁平管理,技能培训,节日礼物",3-5年,本科,资深数据分析师,15k-25k,古茗茶饮,浙江古茗科技有限公司
2000人以上,"六险一金,不打卡,姨妈假,扁平管理",3-5年,本科,资深数据分析师,15k-30k,Fordeal,广州哆啦科技有限公司
50-150人,"扁平管理,技能培训,领导好,岗位晋升",应届毕业生,大专,助理/文员/数据分析员,4k-8k,蓝享网络科技,杭州蓝享网络科技有限公司
150-500人,"年底双薪,节日礼物,岗位晋升,通讯津贴",3-5年,本科,数据分析师,10k-15k,浙江保融,浙江保融科技有限公司
150-500人,"股票期权,带薪年假,弹性工作,交通补助",3-5年,本科,数据分析师,10k-15k,霖梓控股,浙江霖梓控股有限公司
150-500人,"股票期权,带薪年假,弹性工作,交通补助",1-3年,本科,数据分析,9k-18k,霖梓控股,浙江霖梓控股有限公司
2000人以上,"节日礼物,股票期权,带薪年假,岗位晋升",1-3年,本科,数据分析,6k-10k,浙江盘石,浙江盘石信息技术股份有限公司
150-500人,"海量大数据,世界级产品,AI,智能供应链",1-3年,本科,数据分析师（BI）,8k-15k,Club Factory,杭州嘉云数据科技有限公司
500-2000人,"美女多,六险一金,快乐高效文化,绩效奖金",1-3年,本科,数据分析师,8k-14k,婚礼纪,杭州火烧云科技有限公司
150-500人,"股票期权,带薪年假,弹性工作,交通补助",3-5年,本科,数据分析师,15k-25k,霖梓控股,浙江霖梓控股有限公司
150-500人,"节日礼物,岗位晋升,年度旅游,扁平管理",1-3年,本科,数据分析师,12k-20k,青团社,杭州弧途科技有限公司
15-50人,"年底双薪,扁平管理,五险一金,弹性工作",不限,本科,数据分析师,8k-16k,创邻科技,浙江创邻科技有限公司
150-500人,"技能培训,节日礼物,年底双薪,带薪年假",3-5年,本科,数据分析师,13k-25k,Nascent,厦门南讯软件科技有限公司
150-500人,"节日礼物,带薪年假,岗位晋升,美女多",3-5年,本科,数据分析师,15k-20k,汇信科技,浙江汇信科技有限公司
